1,https://www.wildberries.ru/catalog/163262950/detail.aspx,Исламская книга Путеводитель мусульманки,1 001 ₽,79 отзывов,5
2,https://www.wildberries.ru/catalog/8014113/detail.aspx,"Сказать жизни ""ДА!""",487 ₽,1 511 отзывов,5
3,https://www.wildberries.ru/catalog/155881211/detail.aspx,Один вопрос в день: Дневник на пять лет. (Мрамор),590 ₽,67 отзывов,5
4,https://www.wildberries.ru/catalog/16008705/detail.aspx,"К себе нежно. Книга о том, как ценить и беречь себя",786 ₽,2 695 отзывов,5
5,https://www.wildberries.ru/catalog/158247265/detail.aspx,Мышление предпринимателя | Сагдеев Станислав | Книга подарок,1 400 ₽,5 отзывов,5
6,https://www.wildberries.ru/catalog/13025960/detail.aspx,Введение в онтопсихологию,513 ₽,1 отзыв,5
7,https://www.wildberries.ru/catalog/8712657/detail.aspx,Самый богатый человек в Вавилоне,343 ₽,3 119 отзывов,5
8,https://www.wildberries.ru/catalog/7157443/detail.aspx,Как разговаривать с кем угодно,339 ₽,1 692 отзыва,5
9,https://www.wildberries.ru/catalog/149642977/detail.aspx,Прежде чем мы привяжемся. Почему мы повторяем одни и те же,600 ₽,23 отзыва,5
10,https://www.wildberries.ru/catalog/2281454/detail.aspx,Искусство любить,278 ₽,3 373 отзыва,5
11,https://www.wildberries.ru/catalog/49426234/detail.aspx,Введение в психоанализ,175 ₽,21 отзыв,5
12,https://www.wildberries.ru/catalog/73189565/detail.aspx,К себе нежно,787 ₽,906 отзывов,5
13,https://www.wildberries.ru/catalog/10249656/detail.aspx,Подсознание может всё!,666 ₽,2 288 отзывов,5
14,https://www.wildberries.ru/catalog/8466527/detail.aspx,Думай и богатей,376 ₽,1 071 отзыв,5
15,https://www.wildberries.ru/catalog/4226391/detail.aspx,Тайная опора: привязанность в жизни ребенка,408 ₽,2 700 отзывов,5
16,https://www.wildberries.ru/catalog/152544033/detail.aspx,"6 минут. Ежедневник, который изменит вашу жизнь",690 ₽,4 102 отзыва,5
17,https://www.wildberries.ru/catalog/81766657/detail.aspx,Ребенок в тебе должен обрести дом,690 ₽,245 отзывов,5
18,https://www.wildberries.ru/catalog/136965952/detail.aspx,Книга Договориться не проблема,496 ₽,57 отзывов,5
19,https://www.wildberries.ru/catalog/11257453/detail.aspx,Как завоевывать друзей,622 ₽,900 отзывов,5
20,https://www.wildberries.ru/catalog/21238912/detail.aspx,Эмоциональный интеллект,961 ₽,184 отзыва,5
21,https://www.wildberries.ru/catalog/63752848/detail.aspx,Бегущая с волками,1 719 ₽,265 отзывов,5
22,https://www.wildberries.ru/catalog/139226023/detail.aspx,"Книга ""Волшебный блокнот божественной женщины"" Сатья",1 038 ₽,13 отзывов,5
23,https://www.wildberries.ru/catalog/50441846/detail.aspx,Пока мне не исполнилось 30,690 ₽,146 отзывов,5
24,https://www.wildberries.ru/catalog/47401095/detail.aspx,Книга бестселлер Пять языков любви Гэри Чепмен Психология,389 ₽,603 отзыва,5
25,https://www.wildberries.ru/catalog/74659172/detail.aspx,Я не могу без тебя. Как не терять себя в отношениях,684 ₽,366 отзывов,5
26,https://www.wildberries.ru/catalog/109779003/detail.aspx,Я отражение тебя: вибрации сознания или начало всего,558 ₽,8 отзывов,5
27,https://www.wildberries.ru/catalog/151806743/detail.aspx,В тебе есть всё. Тетрадь для самопознания,756 ₽,173 отзыва,5
28,https://www.wildberries.ru/catalog/164150596/detail.aspx,Психология для реальной жизни. Психологические сутры,618 ₽,None,None
29,https://www.wildberries.ru/catalog/160039311/detail.aspx,Путь родителя. От 0 до 7 лет,576 ₽,1 отзыв,5
30,https://www.wildberries.ru/catalog/72985230/detail.aspx,Хочу и буду 6 правил счастливой жизни,789 ₽,389 отзывов,5
31,https://www.wildberries.ru/catalog/8080949/detail.aspx,Кафе на краю земли. Как перестать плыть по течению,276 ₽,1 003 отзыва,5
32,https://www.wildberries.ru/catalog/151996106/detail.aspx,Подсознание может всё,375 ₽,81 отзыв,5
33,https://www.wildberries.ru/catalog/9247597/detail.aspx,Цель: процесс непрерывного улучшения,1 576 ₽,47 отзывов,5
34,https://www.wildberries.ru/catalog/114509776/detail.aspx,Книга Танцуйте свою жизнь. Лиля Град,567 ₽,173 отзыва,5
35,https://www.wildberries.ru/catalog/70103451/detail.aspx,Жизнь без ограничений,850 ₽,92 отзыва,5
36,https://www.wildberries.ru/catalog/10866530/detail.aspx,Хочу и буду. 6 правил счастливой жизни,789 ₽,929 отзывов,5
37,https://www.wildberries.ru/catalog/4825592/detail.aspx,Договориться не проблема. Как добиваться своего без,431 ₽,265 отзывов,5
38,https://www.wildberries.ru/catalog/7821536/detail.aspx,Квантовый воин. Сознание будущего,953 ₽,2 288 отзывов,5
39,https://www.wildberries.ru/catalog/147802170/detail.aspx,Мама услышь меня,639 ₽,127 отзывов,5
40,https://www.wildberries.ru/catalog/7107090/detail.aspx,"Харизма. Как влиять, убеждать",262 ₽,1 266 отзывов,5
41,https://www.wildberries.ru/catalog/10065560/detail.aspx,Как перестать беспокоиться и начать жить,727 ₽,365 отзывов,5
42,https://www.wildberries.ru/catalog/150785230/detail.aspx,"Любовь не боль. Здоровая любовь к себе, партнеру, родителям",534 ₽,20 отзывов,5
43,https://www.wildberries.ru/catalog/7821832/detail.aspx,Как завоевывать друзей,705 ₽,900 отзывов,5
44,https://www.wildberries.ru/catalog/9895880/detail.aspx,Ребенок в тебе должен обрести дом,690 ₽,521 отзыв,5
45,https://www.wildberries.ru/catalog/9644844/detail.aspx,Как выработать уверенность в себе,873 ₽,900 отзывов,5
46,https://www.wildberries.ru/catalog/158791585/detail.aspx,Магия утра. Как первый час дня определяет ваш успех.,690 ₽,3 отзыва,5
